Freie Partie klein;1,T0;T1;T2;T3;T4;T6;T9;T13;T16;T18;T21;T23
Freie Partie klein;2,T0;T1;T2;T3;T4;T6;T9;T13;T16;T18;T21;T23
Freie Partie klein;3,T0;T1;T2;T3;T4;T6;T9;T13;T16;T18;T21;T23
Freie Partie klein;4,T0;T1;T2;T3;T4;T6;T9;T13;T16;T18;T21;T23
Freie Partie klein;5,T0;T1;T2;T3;T4;T6;T9;T13;T16;T18;T21;T23
Freie Partie klein;6,T0;T1;T2;T3;T4;T7;T12;T15;T16;T18;T21;T24
Freie Partie klein;7,T0;T1;T2;T3;T4;T7;T12;T15;T16;T18;T21;T24
Cadre 35/2;1;T0;T1;T2;T3;T4;T6;T9;T13;T16;T18;T21;T23
Cadre 35/2;2;T0;T1;T2;T3;T4;T7;T12;T15;T16;T18;T21;T24
Cadre 52/2;1;T0;T1;T2;T3;T4;T6;T9;T13;T16;T18;T21;T23
Cadre 52/2;2;T0;T1;T2;T3;T4;T7;T12;T15;T16;T18;T21;T24
Einband klein;1;T0;T1;T2;T3;T4;T6;T9;T13;T16;T18;T21;T23
Einband klein;2;T0;T1;T2;T3;T4;T7;T12;T15;T16;T18;T21;T24
Dreiband klein;1;T0;T1;T2;T3;T4;T6;T9;T13;T16;T18;T21;T23
Dreiband klein;2;T0;T1;T2;T3;T4;T7;T12;T15;T16;T18;T21;T24
Freie Partie groß;I,T0;T1;T2;T3;T4;T6;T9;T13;T16;T18;T21;T23
Freie Partie groß;II,T0;T1;T2;T3;T4;T6;T9;T13;T16;T18;T21;T23
Freie Partie groß;III,T0;T1;T2;T3;T4;T6;T9;T13;T16;T18;T21;T23
Cadre 47/2;I;T0;T1;T2;T3;T4;T6;T9;T13;T16;T18;T21;T23
Cadre 47/2;II;T0;T1;T2;T3;T4;T6;T9;T13;T16;T18;T21;T23
Cadre 71/2;I;T0;T1;T2;T3;T4;T6;T9;T13;T16;T18;T21;T23
Cadre 71/2;II;T0;T1;T2;T3;T4;T6;T9;T13;T16;T18;T21;T23
Einband groß;I;T0;T1;T2;T3;T4;T6;T9;T13;T16;T18;T21;T23
Einband groß;II;T0;T1;T2;T3;T4;T6;T9;T13;T16;T18;T21;T23
Dreiband groß;I;T0;T1;T2;T3;T5;T8;T11;T14;T16;T18;T22;T23
Dreiband groß;II;T0;T1;T2;T3;T4;T6;T9;T13;T16;T18;T22;T23
Dreiband groß;III;T0;T1;T2;T3;T4;T6;T9;T13;T16;T18;T22;T23
Petit/Grand Prix;;T0;T1;T2;T3;T4;T7;T12;T15;T16;T18;T21;T24
Nordcup;;T0;T1;T2;T3;T4;T6;T9;T13;T16;T18;T21;T23
